numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status
30,FOMENDRAZA,Haingo Elisette,Feminin,Ambositra,AMORON'I MANIA,IRMAR,IRMAR,ACTIVE
31,GOULAMALY,Jacques Bruno Fils,Masculin,Antanimora Sud,ANDROY,Indépendant,GPIF1,ACTIVE
32,HANOGNONA,Hervé,Masculin,Betioky Sud,ATSIMO ANDREFANA,IRMAR,IRMAR,ACTIVE
33,IBRAHIM,Issa Charles,Masculin,Antsiranana I,DIANA,Indépendant,GPIF1,ACTIVE
34,IMBIKY,Herilaza,Masculin,Sainte Marie,ANALANJIROFO,IRMAR,IRMAR,ACTIVE
35,JAOZANDRY,René,Masculin,Bealanana,SOFIA,Indépendant,GPIF3,ACTIVE
36,JEAN,FRANCOIS Michel,Masculin,Antsirabe I,VAKINANKARATRA,Firaisankina,FIRAISANKINA,ACTIVE
37,MAHAVITARA,Sylvestre,Masculin,Vangaindrano,ATSIMO ATSINANANA,Indépendant,IRMAR,ACTIVE
38,MAMANGY,Norbert,Masculin,Sambava,SAVA,IRMAR,Non_Affilié,ACTIVE
39,MAMIHAJA,Charlot,Masculin,Mananjary,VATOVAVY,Firaisankina,FIRAISANKINA,ACTIVE
40,MAMINIRINA,Jolce Emilien,Masculin,Manakara,FITOVINANY,IRMAR,IRMAR,ACTIVE
41,MANANTENA,Hajanirina Dinah,Masculin,Ifanadiana,VATOVAVY,IRMAR,Non_Affilié,ACTIVE
42,MANASOA,Donat Tang,Masculin,Mahanoro,ATSINANANA,IRMAR,IRMAR,ACTIVE
43,MANDRARA,Louis Fernandy,Masculin,Ambilobe,DIANA,Indépendant,GPIF1,ACTIVE
44,RAKOTOHARITIANA,Navalona Franky Aimé,Masculin,Antananarivo III,ANALAMANGA,Mouvement Gasikara,Non_Affilié,ACTIVE
45,MARA,Volamiranty Donna,Feminin,Nosy Varika,VATOVAVY,IRMAR,Non_Affilié,ACTIVE
46,MARINDRY,Rasolohery Andry Chrinssant,Masculin,Marovoay,BOENY,Indépendant,Non_Affilié,ACTIVE
47,MBADE,Jeannine Gabrielle,Feminin,Maevatanana,BETSIBOKA,IRMAR,GPIF3,ACTIVE
48,MENAVOLO,Alban,Masculin,Soanierana Ivongo,ANALANJIROFO,Indépendant,GPIF1,ACTIVE
49,MICHELLE,Bavy Angelica,Feminin,Fenerive Est,ANALANJIROFO,IRMAR,GPIF3,ACTIVE
50,MILAVONJY,Andriasy Philobert,Masculin,Ambovombe,ANDROY,IRMAR,IRMAR,ACTIVE
51,MONG,MANN Bismark,Masculin,Ihosy,IHOROMBE,IRMAR,GPIF3,ACTIVE
52,NAHARIMAMY,Lucien Irmah,Feminin,Toamasina I,ATSINANANA,IRMAR,IRMAR,ACTIVE
53,NAKANY,Charly Zafimagnely,Masculin,Beroroha,ATSIMO ANDREFANA,Indépendant,GPIF3,ACTIVE
