numero,nom,prenom,genre,district,region,parti_politique,groupe_parlementaire,status,photo_url
22.0,BEFOTOTO,Angelin,Masculin,Andapa,SAVA,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N22.webp
23.0,BOTOTEFY,Herimanantsoa Odilon,Masculin,Vondrozo,ATSIMO ATSINANANA,IRMAR,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N23.webp
24.0,DARKHAOUI,Siritis,Masculin,Ambanja,DIANA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/18_ErIPv84.webp
25.0,DINAH,Romual,Masculin,Maroantsetra,ANALANJIROFO,IRMAR,GPIF3,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N25.webp
26.0,FERNAND,Eric Sandhy,Masculin,Antalaha,SAVA,Indépendant,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N26_trn8E45.webp
27.0,FIAROVANA,Lovanirina Célestin,Masculin,Betafo,VAKINANKARATRA,IRMAR,GPIF2,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/lova.webp
28.0,FIENENA,Richard Désiré,Masculin,Manja,MENABE,IRMAR,Non_Affilié,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N28_WfiGUiQ.webp
29.0,FIHEREZAVINANY,Mena,Masculin,Morafenobe,MELAKY,IRMAR,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/29.webp
30.0,FOMENDRAZA,Haingo Elisette,Feminin,Ambositra,AMORON'I MANIA,IRMAR,IRMAR,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N30.webp
31.0,GOULAMALY,Jacques Bruno Fils,Masculin,Antanimora Sud,ANDROY,Indépendant,GPIF1,ACTIVE,https://pub-7e0d3a35c1b949698a7ced344fa56252.r2.dev/photos_deputes/N31.webp
